prevalence_6lag,covid,ndvi,ipc,population,month,actor1_Al Shabaab_6m,actor2_Al Shabaab_6m,fatalities_6m,interaction_28_6m,actor2_AMISOM: African Union Mission in Somalia (2007-) (Ethiopia)_6m,interaction_27_6m,number_conflicts_6m,interaction_12_6m,interaction_12_1y,actor2_Al Shabaab_1y,fatalities_1y,actor2_AMISOM: African Union Mission in Somalia (2007-) (Ethiopia)_1y,actor1_Al Shabaab_1y,actor2_Military Forces of Somalia (2017-2022)_1y,actor1_Military Forces of Somalia (2017-2022)_1y,actor1_Police Forces of Somaliland (2010-)_1y,actor2_Police Forces of Somaliland (2010-)_1y6m,interaction_12_1y6m,fatalities_1y6m,interaction_27_1y6m,actor2_Al Shabaab_1y6m,actor1_Police Forces of Somalia (2017-2022)_1y6m,actor1_Military Forces of Somalia (2017-2022)_1y6m,actor2_Military Forces of Somalia (2017-2022)_1y6m,district_encoded,district,date,next_prevalence,predictions
0.3772534798111706,5.0,0.16833333333333333,0.07,137166.99069700082,7,0.0,0.0,11.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,79,Taleex,2020-07-01,0.2834424695977549,0.3286601851460063
0.3607539512669208,5.0,0.23666666666666666,0.09,158305.84798228322,7,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,28,Burtinle,2020-07-01,0.3781725888324873,0.34834222088000205
0.3994682200116711,5.0,0.5066666666666667,0.13,24953.239247136426,7,2.0,6.0,11.0,5.0,0.0,2.0,9.0,1.0,1.0,14.0,16.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,106.0,2.0,20.0,0.0,1.0,0.0,24,Bu'aale,2020-07-01,0.3788461538461538,0.3948005969694073
0.4954915340016362,5.0,0.325,0.08,257210.9053470947,7,18.0,3.0,63.0,3.0,2.0,5.0,54.0,12.0,16.0,7.0,109.0,3.0,29.0,16.0,16.0,0.0,0.0,23.0,279.0,13.0,16.0,4.0,18.0,24.0,17,Belet Weyne,2020-07-01,0.2474660340737546,0.4707676565070804
0.5312342103332384,5.0,0.36999999999999994,0.05,119189.63988343433,7,2.0,1.0,5.0,2.0,2.0,0.0,3.0,1.0,2.0,2.0,6.0,2.0,3.0,0.0,2.0,0.0,0.0,3.0,8.0,1.0,3.0,0.0,2.0,1.0,81,Waajid,2020-07-01,0.4933524973050665,0.4395392883845152
0.2324431385911439,5.0,0.16333333333333333,0.09,257277.9921167836,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,Berbera,2020-07-01,0.2058333333333333,0.2297930331916568
0.4147038987749591,5.0,0.33166666666666667,0.01,69325.1698295153,7,7.0,2.0,49.0,0.0,0.0,2.0,23.0,5.0,11.0,6.0,132.0,0.0,17.0,8.0,3.0,0.0,0.0,19.0,190.0,5.0,12.0,1.0,6.0,14.0,82,Wanla Weyn,2020-07-01,0.4714070729872084,0.4547063413487883
0.4283242181220916,5.0,0.18333333333333335,0.1,103004.37800500816,7,12.0,1.0,25.0,0.0,0.0,5.0,43.0,13.0,20.0,6.0,67.0,0.0,20.0,8.0,2.0,0.0,0.0,29.0,100.0,13.0,11.0,5.0,2.0,8.0,23,Bossaso,2020-07-01,0.3622932391199615,0.42676532227297753
0.3964549089065016,5.0,0.17333333333333334,0.08,144645.3749179251,7,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,72,Qardho,2020-07-01,0.3539238539238539,0.37945589400651336
0.2081401693223537,5.0,0.27499999999999997,0.12,194982.61424177085,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,78,Sheikh,2020-07-01,0.1828371278458844,0.20205034151555346
